ABCB1,ATP-binding cassette; sub-family B (MDR/TAP); member 1,Inflammatory Bowel Disease 13;  Acute Non Lymphoblastic Leukemia;  Paralytic Ileus;  5
ABCB11,ATP-binding cassette; sub-family B (MDR/TAP); member 11,Cholestasis; Progressive Familial Intrahepatic 2;  Benign Recurrent Intrahepatic Cholestasis 2; Abcb11-Related Intrahepatic Cholestasis;  3
ABCB4,ATP-binding cassette; sub-family B (MDR/TAP); member 4,Gallbladder Disease 1;  Cholestasis; Progressive Familial Intrahepatic 3;  Cholestasis; Intrahepatic; Of Pregnancy; 3;  3
ABCB6,ATP-binding cassette; sub-family B (MDR/TAP); member 6,Dyschromatosis Universalis Hereditaria 3;  Familial Pseudohyperkalemia;  Exhibitionism;  0
ABCB7,ATP-binding cassette; sub-family B (MDR/TAP); member 7,Congenital Syphilis;  X-Linked Sideroblastic Anemia With Ataxia;  Alcohol Abuse;  0
ABCC1,ATP-binding cassette; sub-family C (CFTR/MRP); member 1,Intraocular Retinoblastoma;  Dubin-Johnson Syndrome;  Microsporidiosis;  1
ABCC10,ATP-binding cassette; sub-family C (CFTR/MRP); member 10,Hiv/aids
ABCC11,ATP-binding cassette; sub-family C (CFTR/MRP); member 11,Dubin-Johnson Syndrome
ABCC12,ATP-binding cassette; sub-family C (CFTR/MRP); member 12,Breast Cancer Dubin-Johnson Syndrome
ABCC2,ATP-binding cassette; sub-family C (CFTR/MRP); member 2,Dubin-Johnson Syndrome;  Dysembryoplastic Neuroepithelial Tumor;  Fallopian Tube Cancer; 0
ABCC3,ATP-binding cassette; sub-family C (CFTR/MRP); member 3,Cholangiolocellular Carcinoma;  Dubin-Johnson Syndrome;  Extrahepatic Cholestasis Show all 4
ABCC4,ATP-binding cassette; sub-family C (CFTR/MRP); member 4,Lung Cancer
ABCC5,ATP-binding cassette; sub-family C (CFTR/MRP); member 5,Acute Lymphoblastic Leukemia;  Lymphoblastic Leukemia Dysembryoplastic Neuroepithelial Tumor
ABCC6,ATP-binding cassette; sub-family C (CFTR/MRP); member 6,Acquired Pseudoxanthoma Elasticum;  Angioid Streaks;  Pseudoxanthoma Elasticum;  1
ABCC8,ATP-binding cassette; sub-family C (CFTR/MRP); member 8,Leucine-Sensitive Hypoglycemia Of Infancy;  Neonatal Diabetes Mellitus;  Familial Hyperinsulinism;  0
ABCC9,ATP-binding cassette; sub-family C (CFTR/MRP); member 9,Atrial Fibrillation; Familial; 12;  Coronary Artery Vasospasm;  Cantu Syndrome;  2
ABCD1,ATP-binding cassette; sub-family D (ALD); member 1,Adrenoleukodystrophy;  Spinocerebellar Degeneration;  Addisons Disease;  Show all 7
ABCD2,ATP-binding cassette; sub-family D (ALD); member 2,Peroxisomal Disease
ABCD3,ATP-binding cassette; sub-family D (ALD); member 3,Zellweger Syndrome;  Peroxisomal Disease Adrenoleukodystrophy
ABCD4,ATP-binding cassette; sub-family D (ALD); member 4,Methylmalonic Aciduria And Homocystinuria; Cblj Type;  Cbij;  Disorders Of Intracellular Cobalamin Metabolism;  Show all 5
ABCF2,ATP-binding cassette; sub-family F (GCN20); member 2,Cystic Fibrosis
ABCG1,ATP-binding cassette; sub-family G (WHITE); member 1,Tangier Disease;  Sitosterolemia Autosomal Recessive Nonsyndromic Deafness
ABCG2,ATP-binding cassette; sub-family G (WHITE); member 2,Breast Cancer;  Nonpapillary Renal Cell Carcinoma;  Choriocarcinoma;  
ABCG5,ATP-binding cassette; sub-family G (WHITE); member 5,Aortic Atherosclerosis;  Sitosterolemia;  Hypercholesterolemia Show all 4
ABCG8,ATP-binding cassette; sub-family G (WHITE); member 8,Gallbladder Disease 4;  Gallbladder Disease;  Sitosterolemia;  Show all 6
ABHD11,abhydrolase domain containing 11,Williams-Beuren Syndrome
ABHD12,abhydrolase domain containing 12,Polyneuropathy; Hearing Loss; Ataxia; Retinitis Pigmentosa; And Cataract;  Polyneuropathy; Usher Syndrome Type 3 Show all 4
ABHD5,abhydrolase domain containing 5,Neutral Lipid Storage Disease;  Lipid Storage Disease Systemic Primary Carnitine Deficiency Disease
ABI1,abl-interactor 1,Acute Myeloid Leukemia;  Breast Cancer;  Colon Cancer Show all 4
ABL1,c-abl oncogene 1; non-receptor tyrosine kinase,Leukemia; Philadelphia Chromosome-Positive; Resistant To Imatinib;  Chronic Myeloid Leukemia;  Precursor T-Cell Acute Lymphoblastic Leukemia;  2
ABL2,c-abl oncogene 2; non-receptor tyrosine kinase,Leukemia; Acute Myeloid; With Eosinophilia Leukemia
ABO,ABO blood group (transferase A; alpha 1-3-N-acetylgalactosaminyltransferase; transferase B; alpha 1-3-galactosyltransferase),Blood Group Incompatibility Malaria
ABR,active BCR-related,Enamel Erosion
ABRA,actin-binding Rho activating protein,Malaria
ABT1,activator of basal transcription 1,Roberts Syndrome;  Spinocerebellar Ataxia Type 17 Neuronal Intranuclear Inclusion Disease
AC004862.6,uncharacterized LOC101927269,Hepatocellular Carcinoma
AC007246.3,uncharacterized LOC728730,Obesity
AC007743.1,uncharacterized LOC100129434,Hiv-1
AC008697.1,uncharacterized LOC285626,Crohns Disease;  Multiple Sclerosis Psoriasis
AC009264.1,uncharacterized LOC349160,Migraine
AC009948.5,uncharacterized LOC101927027,Parkinsons Disease
AC017060.1,uncharacterized LOC101927630,Gastric Cancer
AC018647.3,uncharacterized LOC100506725,Parkinsons Disease
AC019117.1,uncharacterized LOC102659288,Intrahepatic Cholangiocarcinoma Cholangiocarcinoma
AC079586.1,uncharacterized LOC151121,Neutropenia
AC091878.1,uncharacterized LOC285696,Alzheimers Disease Bipolar Disorder
AC097662.2,uncharacterized LOC654841,Keratoconus
ACAA1,acetyl-CoA acyltransferase 1,Rhizomelic Chondrodysplasia Punctata;  Beta-Ketothiolase Deficiency;  Thiolase DeficiencyShow all 4
ACAA2,acetyl-CoA acyltransferase 2,Akinetic Mutism;  Ketothiolase Deficiency;  Mutism Show all 4
ACACA,acetyl-CoA carboxylase alpha,Acetyl-Coa Carboxylase Deficiency;  Multiple Carboxylase Deficiency Biotin Deficiency
ACACB,acetyl-CoA carboxylase beta,Biotin Deficiency
ACAD11,acyl-CoA dehydrogenase family; member 11,Childhood Leukemia
ACAD8,acyl-CoA dehydrogenase family; member 8,Isobutyryl-Coa Dehydrogenase Deficiency
ACAD9,acyl-CoA dehydrogenase family; member 9,Acad9 Deficiency;  Acyl-Coa Dehydrogenase 9 Deficiency Mitochondrial Complex I Deficiency
ACADL,acyl-CoA dehydrogenase; long chain,Lcad Deficiency;  Fatty Acid Oxidation Disorders Hypoglycemia
ACADM,acyl-CoA dehydrogenase; C-4 to C-12 straight chain,Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency;  Fasting Hypoglycemia;  Fatty Acid Oxidation Disorders;  
ACADS,acyl-CoA dehydrogenase; C-2 to C-3 short chain,Infantile Hypotonia;  Short-Chain Acyl-Coa Dehydrogenase Deficiency;  Carotid Artery Dissection;  3
ACADSB,acyl-CoA dehydrogenase; short/branched chain,2-Methylbutyryl-Coa Dehydrogenase Deficiency Isovaleric Acidemia
ACADVL,acyl-CoA dehydrogenase; very long chain,Very Long-Chain Acyl-Coenzyme A Dehydrogenase Deficiency;  Pericardial Effusion;  Fatty Acid Oxidation Disorders;  Show all 7
ACAN,aggrecan,Spondyloepimetaphyseal Dysplasia; Aggrecan Type;  Familial Osteochondritis Dissecans; Osteochondritis Dissecans;  4
ACAT1,acetyl-CoA acetyltransferase 1,Lipid Metabolism Disorder;  Thiolase Deficiency;  Ketothiolase Deficiency;  
ACAT2,acetyl-CoA acetyltransferase 2,Acetyl Coa Acetyltransferase 2 Deficiency;  Thiolase Deficiency;  Beta-Ketothiolase DeficiencyShow all 4
ACBD5,acyl-CoA binding domain containing 5,Thrombocytopenia
ACD,adrenocortical dysplasia homolog (mouse),Breast Cancer Susceptibility
ACE,angiotensin I converting enzyme,Mesangioproliferative Glomerulopathy;  Microvascular Complications Of Diabetes 3; Neurosarcoidosis;  1
ACE2,angiotensin I converting enzyme 2,Neurogenic Hypertension;  Tetanus Neonatorum;  Hypertension;  
ACER1,alkaline ceramidase 1,Farber Lipogranulomatosis Lipogranulomatosis
ACER2,alkaline ceramidase 2,Farber Lipogranulomatosis Lipogranulomatosis
ACER3,alkaline ceramidase 3,Partial Fetal Alcohol Syndrome;  Fetal Alcohol Syndrome;  Farber Lipogranulomatosis Show all 4
ACF,Asymmetric crying facies (Cayler cardiofacial syndrome),Velocardiofacial Syndrome Alzheimers Disease
ACHE,acetylcholinesterase (Yt blood group),Colonic Pseudo-Obstruction;  Gastroschisis;  Wernicke-Korsakoff Syndrome;  1
ACIN1,apoptotic chromatin condensation inducer 1,Breast Adenomyoepithelioma
ACKR3,atypical chemokine receptor 3,Papillary Thyroid Carcinoma
ACKR4,atypical chemokine receptor 4,Pulmonary Sarcoidosis
ACLS,acrocallosal syndrome,Acrocallosal Syndrome;  Joubert Syndrome 12 Hydrolethalus Syndrome 2
ACO1,aconitase 1; soluble,Hyperferritinemia Cataract Syndrome;  X-Linked Sideroblastic Anemia X-Linked Sideroblastic Anemia With Ataxia
ACO2,aconitase 2; mitochondrial,Infantile Cerebellar-Retinal Degeneration;  Ornithine Translocase Deficiency Athetosis
ACOT11,acyl-CoA thioesterase 11,Obesity
ACOT13,acyl-CoA thioesterase 13,Larynx Verrucous Carcinoma Cutaneous Anthrax
ACOT7,acyl-CoA thioesterase 7,Fatty Acid Oxidation Disorders Temporal Lobe Epilepsy
ACOX1,acyl-CoA oxidase 1; palmitoyl,Pseudoneonatal Adrenoleukodystrophy;  Peroxisomal Acyl-Coa Oxidase Deficiency;  Anoxia; Show all 6
ACOX3,acyl-CoA oxidase 3; pristanoyl,Mutism
ACP1,acid phosphatase 1; soluble,Okamoto Syndrome;  Bubonic Plague;  Tuberculosis;  Show all 9
ACP2,acid phosphatase 2; lysosomal,Lysosomal Acid Phosphatase Deficiency
ACP5,acid phosphatase 5; tartrate resistant,Spondyloenchondrodysplasia With Immune Dysregulation;  Spondyloenchondrodysplasia; Pigmented Villonodular Synovitis;  9
ACP6,acid phosphatase 6; lysophosphatidic,Atrioventricular Septal Defect
ACPP,acid phosphatase; prostate,Nephrogenic Adenoma Of The Urethra;  Prostatic Hypertrophy;  Prostatic Adenoma;  5
ACPT,acid phosphatase; testicular,Prostate Cancer Testicular Cancer
ACR,acrosin,Male Infertility Due To Acrosin Deficiency Globozoospermia
ACRBP,acrosin binding protein,Arteriolosclerosis
ACRC,acidic repeat containing,Appendix Adenocarcinoma
ACRPS,Acropectoral syndrome,Acropectoral Syndrome
ACRPV,Acropectorovertebral dysplasia (F syndrome),Acropectorovertebral Dysplasia F Form
ACRV1,acrosomal vesicle protein 1,Hordeolum
ACSF3,acyl-CoA synthetase family member 3,Combined Malonic And Methylmalonic Aciduria Methylmalonic Acidemia
ACSL3,acyl-CoA synthetase long-chain family member 3,Saethre-Chotzen Syndrome
ACSL4,acyl-CoA synthetase long-chain family member 4,Alport Syndrome - Intellectual Disability - Midface Hypoplasia - Elliptocytosis;  Alport Syndrome; Mental Retardation; Midface Hypoplasia; And Elliptocytosis;  Mental Retardation;  Show all 7
ACSL5,acyl-CoA synthetase long-chain family member 5,Colorectal Cancer
ACSL6,acyl-CoA synthetase long-chain family member 6,Myelodysplastic Syndromes Acute Myeloid Leukemia; Adult
ACSM3,acyl-CoA synthetase medium-chain family member 3,Essential Hypertension Hypertension
ACSS3,acyl-CoA synthetase short-chain family member 3,Fetal Alcohol Syndrome
ACT,actin-like protein (ACT) gene,Cerebrovascular Disease; Occlusive Alpha-1-Antichymotrypsin Deficiency
ACTA1,actin; alpha 1; skeletal muscle,Myopathy; Actin; Congenital; With Excess Of Thin Myofilaments;  Nemaline Myopathy 3; Intranuclear Rod Myopathy;  1
ACTA2,actin; alpha 2; smooth muscle; aorta,Multisystemic Smooth Muscle Dysfunction Syndrome;  Aortic Aneurysm; Familial Thoracic 6; Moyamoya Disease 5;  3
ACTB,actin; beta,Juvenile-Onset Dystonia;  Baraitser-Winter Syndrome 1;  Baraitser-Winter Syndrome;  Show all 5
ACTC1,actin; alpha; cardiac muscle 1,Atrial Septal Defect 5;  Left Ventricular Noncompaction 4;  Disseminated Peritoneal Leiomyomatosis;  Show all 93
ACTG1,actin; gamma 1,Baraitser-Winter Syndrome 2;  Baraitser-Winter Syndrome;  Dfna20/26 Nonsyndromic Hearing Loss And Deafness;  
ACTG2,actin; gamma 2; smooth muscle; enteric,Visceral Myopathy;  Megacystis Microcolon Intestinal Hypoperistalsis Syndrome;  Myopathic Intestinal Pseudoobstruction Show all 4
ACTL7A,actin-like 7A,Riley-Day Syndrome;  Breast Cancer Susceptibility Hypertensive Nephropathy
ACTL7B,actin-like 7B,Riley-Day Syndrome Hypertensive Nephropathy
ACTL9,actin-like 9,Breast And Colorectal Cancer
ACTN1,actinin; alpha 1,Bleeding Disorder; Platelet-Type; 15 Bleeding Disorder; Platelet-Type; 16; Autosomal Dominant
ACTN2,actinin; alpha 2,Actn2-Related Familial Hypertrophic Cardiomyopathy;  Cardiomyopathy; Dilated; 1Aa;  Actn2-Related Dilated Cardiomyopathy;  
ACTN3,actinin; alpha 3 (gene/pseudogene),Dystrophinopathies Arrhythmogenic Right Ventricular Cardiomyopathy
ACTN4,actinin; alpha 4,Glomerulosclerosis;  Focal Segmental Glomerulosclerosis;  Nephrotic Syndrome Type 3;  Show all 7
ACTR2,ARP2 actin-related protein 2 homolog (yeast),Wiskott-Aldrich Syndrome
ACTR3BP6,ACTR3B pseudogene 6,Hiv-1
ACTR3C,ARP3 actin-related protein 3 homolog C (yeast),Lung Adenoma
ACVR1,activin A receptor; type I,Fibrodysplasia Ossificans Progressiva Osteochondroma
ACVR1B,activin A receptor; type IB,Pituitary Tumors;  Pancreatic Cancer Pancreatic Carcinoma; Somatic
ACVR1C,activin A receptor; type IC,Myositis Ossificans
ACVR2A,activin A receptor; type IIA,Multiple Synostoses Syndrome
ACVR2B,activin A receptor; type IIB,Heterotaxy; Visceral; 4; Autosomal;  Acvr2B-Related Visceral Heterotaxy;  Heterotaxy;  Show all 6
ACVRL1,activin A receptor type II-like 1,Hereditary Hemorrhagic Telangiectasia Type 2;  Pulmonary Arteriovenous Malformation;  Mixed Connective Tissue Disease;  8
ACY1,aminoacylase 1,Aminoacylase 1 Deficiency;  Syringomyelia;  Systolic Heart Failure;  Show all 5
ACY3,aspartoacylase (aminocyclase) 3,Hepatitis C;  Hepatitis C Virus Hepatitis
AD10,Alzheimer disease-10,Alzheimers Disease Alzheimer Disease-10
AD11,Alzheimer disease-11,Alzheimer Disease-11 Alzheimers Disease
AD12,Alzheimer disease 12,Alzheimer Disease 12 Alzheimers Disease
AD13,Alzheimer disease-13,Alzheimer Disease-13 Alzheimers Disease
AD14,Alzheimer disease 14,Alzheimer Disease-14 Alzheimers Disease
AD15,Alzheimer disease-15,Alzheimer Disease-15 Alzheimers Disease
AD16,Alzheimer disease 16,Alzheimer Disease 16 Alzheimers Disease
AD17,Alzheimer disease 17,Alzheimer Disease 17 Alzheimers Disease
AD5,Alzheimer disease 5,Alzheimers Disease Alzheimer Disease Type 5
AD6,Alzheimer disease 6,Alzheimers Disease Alzheimer Disease 6
AD7,Alzheimer disease 7,Alzheimer Disease-7 Alzheimers Disease
AD8,Alzheimer disease 8,Alzheimers Disease Alzheimer Disease 8
AD9,Alzheimer disease 9,Alzheimers Disease Alzheimer Disease 9; Late Onset
ADA,adenosine deaminase,Listeria Meningitis;  Cauda Equina Syndrome;  Tuberculous Peritonitis;  Show all 40
ADAL,adenosine deaminase-like,Epididymitis
ADAM10,ADAM metallopeptidase domain 10,Dowling-Degos Disease;  Alzheimer Disease 18;  Alzheimers Disease;  Show all 5
ADAM11,ADAM metallopeptidase domain 11,Breast Cancer
ADAM17,ADAM metallopeptidase domain 17,Inflammatory Skin And Bowel Disease; Neonatal; 1;  Heterotaxy Dilated Cardiomyopathy
ADAM21P1,ADAM metallopeptidase domain 21 pseudogene 1,Adult T-Cell Leukemia
ADAM22,ADAM metallopeptidase domain 22,Limbic Encephalitis
ADAM33,ADAM metallopeptidase domain 33,Asthma
ADAM3A,ADAM metallopeptidase domain 3A (pseudogene),Composite Lymphoma
ADAM7,ADAM metallopeptidase domain 7,Melanoma
ADAM8,ADAM metallopeptidase domain 8,Asthma
ADAM9,ADAM metallopeptidase domain 9,Cone-Rod Dystrophy 9;  Myeloma;  Cone-Rod Dystrophy 2;  Show all 5
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif; 1,Type 2A Von Willebrand Disease
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif; 10,Weill-Marchesani Syndrome 1; Recessive;  Adamts10-Related Weill-Marchesani Syndrome Weill-Marchesani Syndrome
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif; 13,Thrombotic Thrombocytopenic Purpura; Congenital;  Evans Syndrome;  Thrombotic Thrombocytopenic Purpura;  5
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif; 17,Weill-Marchesani-Like Syndrome Weill-Marchesani Syndrome
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif; 18,Microcornea; Myopic Chorioretinal Atrophy; And Telecanthus;  Carotid Artery Occlusion Knobloch Syndrome
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif; 2,Ehlers-Danlos Syndrome Dermatosparaxis Type Anosognosia
ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif; 20,Weill-Marchesani Syndrome
ADAMTSL1,ADAMTS-like 1,Malaria;  Quebec Platelet Disorder;  Colonic Disease Show all 4
ADAMTSL2,ADAMTS-like 2,Geleophysic Dysplasia 1;  Geleophysic Dysplasia;  Geleophysic Dwarfism;  Show all 5
ADAMTSL3,ADAMTS-like 3,Colorectal Cancer
ADAMTSL4,ADAMTS-like 4,Ectopia Lentis Et Pupillae;  Adamtsl4-Related Eye Disorders;  Ectopia Lentis; Isolated Autosomal Recessive;  Show all 5
ADAP2,ArfGAP with dual PH domains 2,Gastrointestinal Lymphoma
ADAR,adenosine deaminase; RNA-specific,Aicardi-Goutieres Syndrome 6;  Steatitis;  Human T-Cell Leukemia Virus Type 2;  0
ADAT3,adenosine deaminase; tRNA-specific 3,Mental Retardation; Autosomal Recessive 36 Breast And Colorectal Cancer
ADCK2,aarF domain containing kinase 2,Klippel-Feil Syndrome
ADCK3,aarF domain containing kinase 3,Coenzyme Q10 Deficiency; Primary; 4;  Spinocerebellar Ataxia; Autosomal Recessive; 9 Cabc1-Related Coenzyme Q10 Deficiency
ADCK4,aarF domain containing kinase 4,Nephrotic Syndrome; Type 9;  Nephrotic Syndrome Type 3 Familial Idiopathic Steroid-Resistant Nephrotic Syndrome With Focal Segmental Hyalinosis
ADCY1,adenylate cyclase 1 (brain),Adenoma;  Deafness; Digenic; Gjb2/gjb3 Deafness; Autosomal Recessive 44
ADCY10,adenylate cyclase 10 (soluble),Hypercalciuria; Absorptive;  Cholera;  Albrights Hereditary Osteodystrophy;  Show all 9
ADCY2,adenylate cyclase 2 (brain),Adenoma Mccune Albright Syndrome
ADCY3,adenylate cyclase 3,Thyroid Adenoma;  Adenoma Precocious Puberty
ADCY4,adenylate cyclase 4,Adenoma
ADCY5,adenylate cyclase 5,Dyskinesia; Familial; With Facial Myokymia;  Myokymia;  Adenoma;  Show all 5
ADCY6,adenylate cyclase 6,Thyroid Adenoma;  Adenoma;  Precocious Puberty Show all 4
ADCY7,adenylate cyclase 7,Adenoma
ADCY8,adenylate cyclase 8 (brain),Adenoma;  Thyroid Adenoma Precocious Puberty
ADCY9,adenylate cyclase 9,Adenoma;  Thyroid Adenoma;  Rubinstein-Taybi Syndrome Show all 4
ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),Post-Traumatic Stress Disorder;  Carpal Tunnel Syndrome;  Sudden Infant Death Syndrome; Show all 6
ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I,Post-Traumatic Stress Disorder
ADD1,adducin 1 (alpha),Hypertension; Essential; Salt-Sensitive;  Gastroschisis;  Dehydrated Hereditary Stomatocytosis; Show all 6
ADD2,adducin 2 (beta),Capillariasis;  Hypertension;  Exhibitionism;  
ADD3,adducin 3 (gamma),Hypertension;  Dyscalculia;  Cerebral Palsy; Spastic Quadriplegic; 1;  Show all 5
ADFN,albinism-deafness syndrome,Albinism Deafness Syndrome
ADH1A,alcohol dehydrogenase 1A (class I); alpha polypeptide,Alcohol Dependence Fetal Alcohol Syndrome
ADH1B,alcohol dehydrogenase 1B (class I); beta polypeptide,Alcohol-Related Birth Defect;  Alcohol Dependence; Protection Against;  Aerodigestive Tract Cancer; Squamous Cell; Alcohol-Related; Protection Against;  
ADH1C,alcohol dehydrogenase 1C (class I); gamma polypeptide,Liver Cirrhosis;  Parkinsons Disease;  Alcoholic Liver Cirrhosis;  Show all 9
ADH4,alcohol dehydrogenase 4 (class II); pi polypeptide,Alcoholic Liver Cirrhosis;  Alcohol Dependence;  Headache Show all 4
