@relation JM1
@attribute defects {AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW}
@attribute elapsedTime real
@attribute predictionTime real
@attribute branchCount numeric
@data
CU,631152000000,4681065600000,0
CV,631152000000,4681065600000,0
CW,631152000000,4681065600000,0
CX,631152000000,4681065600000,0
CY,631152000000,4681065600000,0
CZ,631152000000,4681065600000,0
DE,631152000000,4681065600000,0
DJ,631152000000,4681065600000,0
DK,631152000000,4681065600000,0
DM,631152000000,4681065600000,0
DO,631152000000,4681065600000,0
DZ,631152000000,4681065600000,0
EC,631152000000,4681065600000,0
EE,631152000000,4681065600000,0
EG,631152000000,4681065600000,0
EH,631152000000,4681065600000,0
ER,631152000000,4681065600000,0
ES,631152000000,4681065600000,8
ET,631152000000,4681065600000,0
FI,631152000000,4681065600000,0
FJ,631152000000,4681065600000,0
FK,631152000000,4681065600000,0
FM,631152000000,4681065600000,0
FO,631152000000,4681065600000,0
FR,631152000000,4681065600000,80
GA,631152000000,4681065600000,0
GB,631152000000,4681065600000,0
GD,631152000000,4681065600000,0
GE,631152000000,4681065600000,0
GF,631152000000,4681065600000,0
GG,631152000000,4681065600000,0
GH,631152000000,4681065600000,0
GI,631152000000,4681065600000,0
GL,631152000000,4681065600000,0
GM,631152000000,4681065600000,0
GN,631152000000,4681065600000,0
GP,631152000000,4681065600000,0
GQ,631152000000,4681065600000,0
GR,631152000000,4681065600000,0
GS,631152000000,4681065600000,0
GT,631152000000,4681065600000,0
GU,631152000000,4681065600000,0
GW,631152000000,4681065600000,0
GY,631152000000,4681065600000,0
HK,631152000000,4681065600000,0
HM,631152000000,4681065600000,0
HN,631152000000,4681065600000,0
HR,631152000000,4681065600000,0
HT,631152000000,4681065600000,0
HU,631152000000,4681065600000,0
ID,631152000000,4681065600000,0
IE,631152000000,4681065600000,0
IL,631152000000,4681065600000,0
IM,631152000000,4681065600000,0
IN,631152000000,4681065600000,0
IO,631152000000,4681065600000,0
IQ,631152000000,4681065600000,0
IR,631152000000,4681065600000,0
IS,631152000000,4681065600000,0
IT,631152000000,4681065600000,0
JE,631152000000,4681065600000,0
JM,631152000000,4681065600000,0
JO,631152000000,4681065600000,0
JP,631152000000,4681065600000,0
KE,631152000000,4681065600000,0
KG,631152000000,4681065600000,0
KH,631152000000,4681065600000,0
KI,631152000000,4681065600000,0
KM,631152000000,4681065600000,0
KN,631152000000,4681065600000,0
KP,631152000000,4681065600000,0
KR,631152000000,4681065600000,0
KW,631152000000,4681065600000,0
KY,631152000000,4681065600000,0
KZ,631152000000,4681065600000,0
LA,631152000000,4681065600000,0
LB,631152000000,4681065600000,0
LC,631152000000,4681065600000,0
LI,631152000000,4681065600000,0
LK,631152000000,4681065600000,0
LR,631152000000,4681065600000,0
LS,631152000000,4681065600000,0
LT,631152000000,4681065600000,0
LU,631152000000,4681065600000,0
LV,631152000000,4681065600000,0
LY,631152000000,4681065600000,0
MA,631152000000,4681065600000,0
MC,631152000000,4681065600000,0
MD,631152000000,4681065600000,0
ME,631152000000,4681065600000,0
MF,631152000000,4681065600000,0
MG,631152000000,4681065600000,0
MH,631152000000,4681065600000,0
MK,631152000000,4681065600000,0
ML,631152000000,4681065600000,0
MM,631152000000,4681065600000,0
MN,631152000000,4681065600000,0
MO,631152000000,4681065600000,0
MP,631152000000,4681065600000,0
MQ,631152000000,4681065600000,0
MR,631152000000,4681065600000,0
MS,631152000000,4681065600000,0
MT,631152000000,4681065600000,0
MU,631152000000,4681065600000,0
MV,631152000000,4681065600000,0
MW,631152000000,4681065600000,0
MX,631152000000,4681065600000,3000
MY,631152000000,4681065600000,0
MZ,631152000000,4681065600000,0
NA,631152000000,4681065600000,0
NC,631152000000,4681065600000,0
NE,631152000000,4681065600000,0
NF,631152000000,4681065600000,0
NG,631152000000,4681065600000,0
NI,631152000000,4681065600000,0
NL,631152000000,4681065600000,0
NO,631152000000,4681065600000,200
NP,631152000000,4681065600000,0
NR,631152000000,4681065600000,0
NU,631152000000,4681065600000,0
NZ,631152000000,4681065600000,0
OM,631152000000,4681065600000,0
PA,631152000000,4681065600000,0
PE,631152000000,4681065600000,0
PF,631152000000,4681065600000,0
PG,631152000000,4681065600000,0
PH,631152000000,4681065600000,0
PK,631152000000,4681065600000,0
PL,631152000000,4681065600000,0
PM,631152000000,4681065600000,0
PN,631152000000,4681065600000,0
PR,631152000000,4681065600000,0
PS,631152000000,4681065600000,0
PT,631152000000,4681065600000,0
PW,631152000000,4681065600000,0
PY,631152000000,4681065600000,0
QA,631152000000,4681065600000,0
RE,631152000000,4681065600000,0
RO,631152000000,4681065600000,0
RS,631152000000,4681065600000,0
RU,631152000000,4681065600000,20
RW,631152000000,4681065600000,0
SA,631152000000,4681065600000,0
SB,631152000000,4681065600000,0
SC,631152000000,4681065600000,0
SD,631152000000,4681065600000,0
SE,631152000000,4681065600000,0
SG,631152000000,4681065600000,0
SH,631152000000,4681065600000,0
SI,631152000000,4681065600000,0
SJ,631152000000,4681065600000,0
SK,631152000000,4681065600000,0
SL,631152000000,4681065600000,0
SM,631152000000,4681065600000,0
SN,631152000000,4681065600000,0
SO,631152000000,4681065600000,0
SR,631152000000,4681065600000,0
SS,631152000000,4681065600000,0
ST,631152000000,4681065600000,0
SV,631152000000,4681065600000,0
SX,631152000000,4681065600000,0
SY,631152000000,4681065600000,0
SZ,631152000000,4681065600000,0
TC,631152000000,4681065600000,0
TD,631152000000,4681065600000,0
TF,631152000000,4681065600000,0
TG,631152000000,4681065600000,0
TH,631152000000,4681065600000,0
TJ,631152000000,4681065600000,0
TK,631152000000,4681065600000,0
TL,631152000000,4681065600000,0
TM,631152000000,4681065600000,0
TN,631152000000,4681065600000,0
TO,631152000000,4681065600000,0
TR,631152000000,4681065600000,0
TT,631152000000,4681065600000,0
TV,631152000000,4681065600000,0
TW,631152000000,4681065600000,0
TZ,631152000000,4681065600000,0
UA,631152000000,4681065600000,0
UG,631152000000,4681065600000,0
UM,631152000000,4681065600000,0
US,631152000000,4681065600000,0
UY,631152000000,4681065600000,0
UZ,631152000000,4681065600000,0
VA,631152000000,4681065600000,0
VC,631152000000,4681065600000,0
VE,631152000000,4681065600000,0
VG,631152000000,4681065600000,0
VI,631152000000,4681065600000,0
VN,631152000000,4681065600000,0
VU,631152000000,4681065600000,0
WF,631152000000,4681065600000,0
WS,631152000000,4681065600000,0
YE,631152000000,4681065600000,0
YT,631152000000,4681065600000,0
ZA,631152000000,4681065600000,0
ZM,631152000000,4681065600000,0
ZW,631152000000,4681065600000,0
