@relation JM1
@attribute country code {AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW}
@attribute currentTime real
@attribute predictionTime real
@attribute exposureTime real
@attribute exposure {Arsenic,Asbestos,Asphalt fumes,Benzene,Beryllium,1-Bromopropane,13-Butadiene,Cadmium,Chromium,Diacetyl,Diesel exhaust,Ethylene oxide,Formaldehyde,Hexavalent chromium,Hydrogen sulfide,Isocyanates,Lead,Mercury,Metals toxic,Metalworking fluids,Methylene chloride,SilicaCrystalline,Solvents,Synthetic mineral fibers,Toluene}
@attribute gender {F,M}
@attribute mutationCount numeric
@data
AZ,631152000000,1587340800000,0,Arsenic,M,31
CO,631152000000,1587340800000,0,Arsenic,F,33
AN,631152000000,1587340800000,0,Arsenic,M,53
IN,631152000000,1587340800000,0,Arsenic,M,39
GQ,631152000000,1587340800000,0,Arsenic,F,41
DZ,631152000000,1587340800000,0,Arsenic,F,36
AW,631152000000,1587340800000,0,Arsenic,F,36
LI,631152000000,1587340800000,0,Arsenic,M,27
YE,631152000000,1587340800000,0,Arsenic,M,36
KI,631152000000,1587340800000,1,Arsenic,M,39
WS,631152000000,1587340800000,0,Arsenic,M,39
FR,631152000000,1587340800000,0,Arsenic,M,36
GM,631152000000,1587340800000,1,Arsenic,M,27
GM,631152000000,1587340800000,0,Arsenic,F,27
BO,631152000000,1587340800000,0,Arsenic,F,26
AD,631152000000,1587340800000,0,Arsenic,F,34
VC,631152000000,1587340800000,0,Arsenic,F,32
AN,631152000000,1587340800000,0,Arsenic,M,53
TF,631152000000,1587340800000,0,Arsenic,F,31
BV,631152000000,1587340800000,0,Arsenic,F,32
MN,631152000000,1587340800000,0,Arsenic,F,37
NC,631152000000,1587340800000,0,Arsenic,F,33
CH,631152000000,1587340800000,0,Arsenic,F,27
PG,631152000000,1587340800000,0,Arsenic,M,29
LC,631152000000,1587340800000,0,Arsenic,F,36
MP,631152000000,1587340800000,0,Arsenic,F,37
LK,631152000000,1587340800000,1,Arsenic,F,36
AN,631152000000,1587340800000,0,Arsenic,M,53
JE,631152000000,1587340800000,0,Arsenic,M,24
UM,631152000000,1587340800000,0,Arsenic,M,33
ZW,631152000000,1587340800000,0,Arsenic,M,25
SM,631152000000,1587340800000,0,Arsenic,F,37
TH,631152000000,1587340800000,0,Arsenic,M,26
ES,631152000000,1587340800000,1,Arsenic,F,36
CL,631152000000,1587340800000,0,Arsenic,M,34
MQ,631152000000,1587340800000,0,Arsenic,M,42
MV,631152000000,1587340800000,0,Arsenic,M,29
BW,631152000000,1587340800000,0,Arsenic,M,42
KM,631152000000,1587340800000,1,Arsenic,F,38
CL,631152000000,1587340800000,1,Arsenic,F,34
LS,631152000000,1587340800000,0,Arsenic,M,30
BW,631152000000,1587340800000,0,Arsenic,F,42
NZ,631152000000,1587340800000,0,Arsenic,M,38
GD,631152000000,1587340800000,0,Arsenic,F,29
TV,631152000000,1587340800000,0,Arsenic,F,36
DK,631152000000,1587340800000,0,Arsenic,F,36
AS,631152000000,1587340800000,0,Arsenic,F,41
BQ,631152000000,1587340800000,0,Arsenic,F,29
KH,631152000000,1587340800000,0,Arsenic,M,37
KG,631152000000,1587340800000,1,Arsenic,M,40
SL,631152000000,1587340800000,0,Arsenic,F,40
CA,631152000000,1587340800000,0,Arsenic,F,40
KI,631152000000,1587340800000,0,Arsenic,M,39
UA,631152000000,1587340800000,0,Arsenic,M,34
BQ,631152000000,1587340800000,0,Arsenic,F,29
PF,631152000000,1587340800000,0,Arsenic,M,36
NG,631152000000,1587340800000,1,Arsenic,F,34
PH,631152000000,1587340800000,0,Arsenic,F,33
AG,631152000000,1587340800000,0,Arsenic,M,30
TK,631152000000,1587340800000,0,Arsenic,M,33
GS,631152000000,1587340800000,0,Arsenic,M,43
GD,631152000000,1587340800000,0,Arsenic,F,29
KG,631152000000,1587340800000,0,Arsenic,M,40
PS,631152000000,1587340800000,0,Arsenic,F,43
SR,631152000000,1587340800000,1,Arsenic,F,30
RS,631152000000,1587340800000,0,Arsenic,M,40
MZ,631152000000,1587340800000,0,Arsenic,F,42
DJ,631152000000,1587340800000,0,Arsenic,F,30
TD,631152000000,1587340800000,0,Arsenic,F,30
GN,631152000000,1587340800000,0,Arsenic,F,41
TH,631152000000,1587340800000,0,Arsenic,M,26
BT,631152000000,1587340800000,0,Arsenic,F,35
AI,631152000000,1587340800000,0,Arsenic,F,28
KY,631152000000,1587340800000,1,Arsenic,F,44
GW,631152000000,1587340800000,0,Arsenic,F,26
UZ,631152000000,1587340800000,0,Arsenic,F,37
BW,631152000000,1587340800000,1,Arsenic,F,42
DJ,631152000000,1587340800000,1,Arsenic,M,30
MR,631152000000,1587340800000,0,Arsenic,F,36
AE,631152000000,1587340800000,0,Arsenic,F,39
GP,631152000000,1587340800000,1,Arsenic,M,27
SR,631152000000,1587340800000,0,Arsenic,M,30
PF,631152000000,1587340800000,0,Arsenic,F,36
BE,631152000000,1587340800000,0,Arsenic,F,35
UZ,631152000000,1587340800000,0,Arsenic,M,37
MQ,631152000000,1587340800000,0,Arsenic,M,42
MT,631152000000,1587340800000,0,Arsenic,F,36
ZM,631152000000,1587340800000,0,Arsenic,F,28
TO,631152000000,1587340800000,0,Arsenic,F,37
CU,631152000000,1587340800000,0,Arsenic,F,40
NR,631152000000,1587340800000,1,Arsenic,M,35
GU,631152000000,1587340800000,0,Arsenic,M,32
FJ,631152000000,1587340800000,0,Arsenic,F,41
AU,631152000000,1587340800000,0,Arsenic,M,37
ER,631152000000,1587340800000,1,Arsenic,M,44
MH,631152000000,1587340800000,0,Arsenic,F,29
CY,631152000000,1587340800000,0,Arsenic,F,33
MQ,631152000000,1587340800000,0,Arsenic,M,42
NA,631152000000,1587340800000,0,Arsenic,F,25
BJ,631152000000,1587340800000,0,Arsenic,M,45
HN,631152000000,1587340800000,0,Arsenic,F,33
ZM,631152000000,1587340800000,0,Arsenic,F,28
BM,631152000000,1587340800000,0,Arsenic,M,35
CH,631152000000,1587340800000,0,Arsenic,F,27
KN,631152000000,1587340800000,0,Arsenic,F,43
MC,631152000000,1587340800000,0,Arsenic,F,40
MA,631152000000,1587340800000,1,Arsenic,M,29
BQ,631152000000,1587340800000,0,Arsenic,M,29
RS,631152000000,1587340800000,1,Arsenic,F,40
BF,631152000000,1587340800000,0,Arsenic,F,32
BR,631152000000,1587340800000,1,Arsenic,F,35
PL,631152000000,1587340800000,1,Arsenic,M,32
AS,631152000000,1587340800000,0,Arsenic,M,41
GS,631152000000,1587340800000,0,Arsenic,M,43
SY,631152000000,1587340800000,0,Arsenic,F,30
MR,631152000000,1587340800000,0,Arsenic,F,36
DM,631152000000,1587340800000,0,Arsenic,M,28
GQ,631152000000,1587340800000,0,Arsenic,M,41
DE,631152000000,1587340800000,0,Arsenic,M,44
YT,631152000000,1587340800000,0,Arsenic,F,34
JE,631152000000,1587340800000,1,Arsenic,M,24
KG,631152000000,1587340800000,0,Arsenic,M,40
CU,631152000000,1587340800000,0,Arsenic,F,40
TN,631152000000,1587340800000,0,Arsenic,F,28
FR,631152000000,1587340800000,0,Arsenic,M,36
BE,631152000000,1587340800000,0,Arsenic,M,35
HT,631152000000,1587340800000,0,Arsenic,M,39
IE,631152000000,1587340800000,0,Arsenic,M,32
LY,631152000000,1587340800000,0,Arsenic,F,46
HN,631152000000,1587340800000,0,Arsenic,M,33
BQ,631152000000,1587340800000,0,Arsenic,F,29
AQ,631152000000,1587340800000,0,Arsenic,M,31
VA,631152000000,1587340800000,0,Arsenic,M,23
NL,631152000000,1587340800000,0,Arsenic,M,45
SD,631152000000,1587340800000,0,Arsenic,F,37
TC,631152000000,1587340800000,1,Arsenic,F,32
EG,631152000000,1587340800000,0,Arsenic,M,32
ML,631152000000,1587340800000,0,Arsenic,M,33
BI,631152000000,1587340800000,0,Arsenic,M,40
HR,631152000000,1587340800000,0,Arsenic,M,31
FJ,631152000000,1587340800000,0,Arsenic,F,41
BJ,631152000000,1587340800000,1,Arsenic,M,45
TL,631152000000,1587340800000,0,Arsenic,F,24
VE,631152000000,1587340800000,0,Arsenic,M,35
BI,631152000000,1587340800000,0,Arsenic,F,40
KY,631152000000,1587340800000,1,Arsenic,M,44
SB,631152000000,1587340800000,0,Arsenic,M,38
NR,631152000000,1587340800000,0,Arsenic,M,35
RS,631152000000,1587340800000,0,Arsenic,M,40
SA,631152000000,1587340800000,0,Arsenic,F,27
GI,631152000000,1587340800000,0,Arsenic,M,32
MO,631152000000,1587340800000,0,Arsenic,M,25
DZ,631152000000,1587340800000,0,Arsenic,F,36
UY,631152000000,1587340800000,0,Arsenic,F,39
GU,631152000000,1587340800000,0,Arsenic,F,32
MN,631152000000,1587340800000,0,Arsenic,M,37
TG,631152000000,1587340800000,0,Arsenic,F,33
CO,631152000000,1587340800000,0,Arsenic,F,33
GU,631152000000,1587340800000,0,Arsenic,F,32
GY,631152000000,1587340800000,0,Arsenic,M,40
AQ,631152000000,1587340800000,1,Arsenic,F,31
SY,631152000000,1587340800000,0,Arsenic,F,30
SH,631152000000,1587340800000,0,Arsenic,M,36
AZ,631152000000,1587340800000,0,Arsenic,F,31
AR,631152000000,1587340800000,0,Arsenic,M,33
NL,631152000000,1587340800000,0,Arsenic,M,45
WS,631152000000,1587340800000,0,Arsenic,F,39
MG,631152000000,1587340800000,0,Arsenic,F,19
KI,631152000000,1587340800000,0,Arsenic,M,39
TT,631152000000,1587340800000,0,Arsenic,M,34
AN,631152000000,1587340800000,0,Arsenic,F,53
NA,631152000000,1587340800000,0,Arsenic,F,25
UM,631152000000,1587340800000,0,Arsenic,M,33
EH,631152000000,1587340800000,0,Arsenic,M,30
PN,631152000000,1587340800000,0,Arsenic,F,36
CN,631152000000,1587340800000,0,Arsenic,F,39
ET,631152000000,1587340800000,0,Arsenic,F,34
AR,631152000000,1587340800000,0,Arsenic,F,33
HK,631152000000,1587340800000,0,Arsenic,F,29
NA,631152000000,1587340800000,0,Arsenic,F,25
UY,631152000000,1587340800000,0,Arsenic,F,39
MY,631152000000,1587340800000,0,Arsenic,M,37
IT,631152000000,1587340800000,0,Arsenic,M,34
AZ,631152000000,1587340800000,0,Arsenic,M,31
PM,631152000000,1587340800000,0,Arsenic,M,24
KP,631152000000,1587340800000,0,Arsenic,M,31
TD,631152000000,1587340800000,0,Arsenic,M,30
KW,631152000000,1587340800000,1,Arsenic,M,26
DM,631152000000,1587340800000,1,Arsenic,F,28
WF,631152000000,1587340800000,0,Arsenic,F,31
BQ,631152000000,1587340800000,0,Arsenic,F,29
MG,631152000000,1587340800000,0,Arsenic,M,19
UM,631152000000,1587340800000,0,Arsenic,F,33
PE,631152000000,1587340800000,0,Arsenic,F,31
AG,631152000000,1587340800000,1,Arsenic,F,30
SS,631152000000,1587340800000,1,Arsenic,M,29
BR,631152000000,1587340800000,0,Arsenic,M,35
VI,631152000000,1587340800000,0,Arsenic,F,31
PK,631152000000,1587340800000,0,Arsenic,F,42
AL,631152000000,1587340800000,0,Arsenic,M,29
MP,631152000000,1587340800000,0,Arsenic,F,37
FM,631152000000,1587340800000,0,Arsenic,M,37
GA,631152000000,1587340800000,1,Arsenic,F,39
FM,631152000000,1587340800000,0,Arsenic,F,37
NI,631152000000,1587340800000,0,Arsenic,M,26
GB,631152000000,1587340800000,0,Arsenic,M,33
LR,631152000000,1587340800000,0,Arsenic,M,26
AF,631152000000,1587340800000,0,Arsenic,M,38
ES,631152000000,1587340800000,0,Arsenic,M,36
LK,631152000000,1587340800000,0,Arsenic,M,36
SZ,631152000000,1587340800000,0,Arsenic,M,40
RO,631152000000,1587340800000,0,Arsenic,M,34
BR,631152000000,1587340800000,0,Arsenic,F,35
AM,631152000000,1587340800000,1,Arsenic,M,40
PF,631152000000,1587340800000,1,Arsenic,F,36
PS,631152000000,1587340800000,0,Arsenic,F,43
BY,631152000000,1587340800000,0,Arsenic,M,28
CX,631152000000,1587340800000,1,Arsenic,F,23
BA,631152000000,1587340800000,0,Arsenic,M,32
DJ,631152000000,1587340800000,0,Arsenic,F,30
CH,631152000000,1587340800000,0,Arsenic,F,27
GR,631152000000,1587340800000,0,Arsenic,F,35
CO,631152000000,1587340800000,0,Arsenic,F,33
LC,631152000000,1587340800000,0,Arsenic,F,36
AO,631152000000,1587340800000,0,Arsenic,M,32
BL,631152000000,1587340800000,0,Arsenic,F,36
CX,631152000000,1587340800000,0,Arsenic,F,23
BE,631152000000,1587340800000,0,Arsenic,M,35
AS,631152000000,1587340800000,0,Arsenic,M,41
SD,631152000000,1587340800000,0,Arsenic,M,37
LR,631152000000,1587340800000,0,Arsenic,F,26
LR,631152000000,1587340800000,1,Arsenic,F,26
IT,631152000000,1587340800000,0,Arsenic,M,34
NZ,631152000000,1587340800000,0,Arsenic,F,38
NG,631152000000,1587340800000,0,Arsenic,M,34
ST,631152000000,1587340800000,0,Arsenic,F,38
AD,631152000000,1587340800000,0,Arsenic,F,34
AT,631152000000,1587340800000,0,Arsenic,F,42
CW,631152000000,1587340800000,0,Arsenic,M,35
TT,631152000000,1587340800000,1,Arsenic,M,34
VN,631152000000,1587340800000,0,Arsenic,M,26
SH,631152000000,1587340800000,0,Arsenic,F,36
GE,631152000000,1587340800000,1,Arsenic,M,32
CI,631152000000,1587340800000,0,Arsenic,M,44
RU,631152000000,1587340800000,1,Arsenic,M,28
ST,631152000000,1587340800000,0,Arsenic,F,38
ST,631152000000,1587340800000,0,Arsenic,M,38
ML,631152000000,1587340800000,0,Arsenic,F,33
BN,631152000000,1587340800000,1,Arsenic,F,41
VA,631152000000,1587340800000,0,Arsenic,F,23
EE,631152000000,1587340800000,0,Arsenic,M,35
ZA,631152000000,1587340800000,0,Arsenic,F,33
LR,631152000000,1587340800000,0,Arsenic,F,26
US,631152000000,1587340800000,1,Arsenic,M,32
GP,631152000000,1587340800000,0,Arsenic,F,27
FI,631152000000,1587340800000,0,Arsenic,F,32
GQ,631152000000,1587340800000,0,Arsenic,F,41
NL,631152000000,1587340800000,0,Arsenic,F,45
KW,631152000000,1587340800000,1,Arsenic,M,26
DK,631152000000,1587340800000,0,Arsenic,F,36
VC,631152000000,1587340800000,0,Arsenic,M,32
MQ,631152000000,1587340800000,0,Arsenic,F,42
NL,631152000000,1587340800000,0,Arsenic,F,45
PH,631152000000,1587340800000,0,Arsenic,M,33
AE,631152000000,1587340800000,0,Arsenic,F,39
KN,631152000000,1587340800000,1,Arsenic,F,43
RS,631152000000,1587340800000,0,Arsenic,M,40
CM,631152000000,1587340800000,0,Arsenic,M,29
TO,631152000000,1587340800000,0,Arsenic,F,37
MZ,631152000000,1587340800000,0,Arsenic,M,42
AI,631152000000,1587340800000,0,Arsenic,M,28
PA,631152000000,1587340800000,0,Arsenic,F,30
UM,631152000000,1587340800000,0,Arsenic,F,33
WS,631152000000,1587340800000,1,Arsenic,F,39
NG,631152000000,1587340800000,0,Arsenic,F,34
LT,631152000000,1587340800000,0,Arsenic,F,26
AS,631152000000,1587340800000,0,Arsenic,F,41
NO,631152000000,1587340800000,0,Arsenic,F,24
KE,631152000000,1587340800000,0,Arsenic,F,27
IE,631152000000,1587340800000,0,Arsenic,M,32
GL,631152000000,1587340800000,0,Arsenic,F,41
MK,631152000000,1587340800000,0,Arsenic,F,36
LV,631152000000,1587340800000,0,Arsenic,M,27
DE,631152000000,1587340800000,0,Arsenic,M,44
BQ,631152000000,1587340800000,0,Arsenic,F,29
WS,631152000000,1587340800000,0,Arsenic,F,39
LV,631152000000,1587340800000,0,Arsenic,M,27
KY,631152000000,1587340800000,0,Arsenic,F,44
NZ,631152000000,1587340800000,1,Arsenic,M,38
FK,631152000000,1587340800000,0,Arsenic,F,35
AU,631152000000,1587340800000,1,Arsenic,F,37
NZ,631152000000,1587340800000,1,Arsenic,F,38
GD,631152000000,1587340800000,0,Arsenic,F,29
BZ,631152000000,1587340800000,0,Arsenic,F,28
BS,631152000000,1587340800000,0,Arsenic,M,36
SC,631152000000,1587340800000,0,Arsenic,F,24
AI,631152000000,1587340800000,0,Arsenic,F,28
MV,631152000000,1587340800000,0,Arsenic,F,29
TH,631152000000,1587340800000,0,Arsenic,F,26
FI,631152000000,1587340800000,0,Arsenic,M,32
HM,631152000000,1587340800000,0,Arsenic,F,36
AE,631152000000,1587340800000,0,Arsenic,M,39
RW,631152000000,1587340800000,0,Arsenic,F,30
BD,631152000000,1587340800000,0,Arsenic,F,35
IS,631152000000,1587340800000,0,Arsenic,M,26
MT,631152000000,1587340800000,0,Arsenic,F,36
MH,631152000000,1587340800000,0,Arsenic,M,29
LI,631152000000,1587340800000,0,Arsenic,F,27
BV,631152000000,1587340800000,0,Arsenic,F,32
IL,631152000000,1587340800000,0,Arsenic,F,31
BA,631152000000,1587340800000,0,Arsenic,F,32
ER,631152000000,1587340800000,1,Arsenic,M,44
BT,631152000000,1587340800000,1,Arsenic,F,35
MW,631152000000,1587340800000,0,Arsenic,F,24
ME,631152000000,1587340800000,0,Arsenic,F,28
SA,631152000000,1587340800000,0,Arsenic,M,27
AM,631152000000,1587340800000,0,Arsenic,F,40
AN,631152000000,1587340800000,0,Arsenic,F,53
BW,631152000000,1587340800000,1,Arsenic,F,42
TJ,631152000000,1587340800000,0,Arsenic,F,31
AD,631152000000,1587340800000,0,Arsenic,M,34
IN,631152000000,1587340800000,0,Arsenic,M,39
WF,631152000000,1587340800000,0,Arsenic,F,31
SV,631152000000,1587340800000,0,Arsenic,F,35
GD,631152000000,1587340800000,0,Arsenic,M,29
CH,631152000000,1587340800000,0,Arsenic,M,27
NO,631152000000,1587340800000,1,Arsenic,F,24
VE,631152000000,1587340800000,0,Arsenic,M,35
KR,631152000000,1587340800000,0,Arsenic,F,32
ZM,631152000000,1587340800000,0,Arsenic,M,28
DE,631152000000,1587340800000,0,Arsenic,M,44
FK,631152000000,1587340800000,0,Arsenic,M,35
BA,631152000000,1587340800000,0,Arsenic,F,32
ZA,631152000000,1587340800000,0,Arsenic,F,33
PY,631152000000,1587340800000,0,Arsenic,F,26
SH,631152000000,1587340800000,0,Arsenic,M,36
BB,631152000000,1587340800000,0,Arsenic,F,39
WS,631152000000,1587340800000,0,Arsenic,M,39
NC,631152000000,1587340800000,0,Arsenic,M,33
HN,631152000000,1587340800000,0,Arsenic,M,33
FI,631152000000,1587340800000,0,Arsenic,M,32
GY,631152000000,1587340800000,0,Arsenic,F,40
MR,631152000000,1587340800000,0,Arsenic,M,36
VC,631152000000,1587340800000,0,Arsenic,M,32
AE,631152000000,1587340800000,0,Arsenic,M,39
VU,631152000000,1587340800000,0,Arsenic,F,40
MY,631152000000,1587340800000,0,Arsenic,F,37
MP,631152000000,1587340800000,0,Arsenic,M,37
AE,631152000000,1587340800000,0,Arsenic,F,39
NA,631152000000,1587340800000,0,Arsenic,F,25
FI,631152000000,1587340800000,0,Arsenic,F,32
TV,631152000000,1587340800000,0,Arsenic,M,36
IN,631152000000,1587340800000,1,Arsenic,M,39
KH,631152000000,1587340800000,0,Arsenic,F,37
IT,631152000000,1587340800000,0,Arsenic,M,34
CA,631152000000,1587340800000,0,Arsenic,M,40
AD,631152000000,1587340800000,0,Arsenic,M,34
PE,631152000000,1587340800000,0,Arsenic,F,31
DZ,631152000000,1587340800000,0,Arsenic,F,36
GF,631152000000,1587340800000,0,Arsenic,M,30
TG,631152000000,1587340800000,0,Arsenic,M,33
BB,631152000000,1587340800000,0,Arsenic,M,39
NA,631152000000,1587340800000,0,Arsenic,F,25
LS,631152000000,1587340800000,0,Arsenic,M,30
MU,631152000000,1587340800000,0,Arsenic,M,40
BV,631152000000,1587340800000,0,Arsenic,M,32
KY,631152000000,1587340800000,1,Arsenic,F,44
MD,631152000000,1587340800000,1,Arsenic,F,29
HR,631152000000,1587340800000,0,Arsenic,F,31
GF,631152000000,1587340800000,0,Arsenic,M,30
MA,631152000000,1587340800000,1,Arsenic,F,29
IR,631152000000,1587340800000,0,Arsenic,F,34
SI,631152000000,1587340800000,0,Arsenic,M,31
EE,631152000000,1587340800000,0,Arsenic,M,35
CF,631152000000,1587340800000,0,Arsenic,M,26
AI,631152000000,1587340800000,0,Arsenic,M,28
HN,631152000000,1587340800000,0,Arsenic,M,33
DE,631152000000,1587340800000,0,Arsenic,F,44
AT,631152000000,1587340800000,0,Arsenic,F,42
BR,631152000000,1587340800000,0,Arsenic,M,35
LI,631152000000,1587340800000,0,Arsenic,F,27
GL,631152000000,1587340800000,1,Arsenic,F,41
ZA,631152000000,1587340800000,0,Arsenic,M,33
NR,631152000000,1587340800000,0,Arsenic,F,35
FO,631152000000,1587340800000,0,Arsenic,M,31
SR,631152000000,1587340800000,0,Arsenic,M,30
MO,631152000000,1587340800000,0,Arsenic,F,25
DM,631152000000,1587340800000,0,Arsenic,F,28
BQ,631152000000,1587340800000,0,Arsenic,M,29
HM,631152000000,1587340800000,0,Arsenic,F,36
GD,631152000000,1587340800000,0,Arsenic,F,29
MX,631152000000,1587340800000,0,Arsenic,F,32
NR,631152000000,1587340800000,0,Arsenic,F,35
WS,631152000000,1587340800000,0,Arsenic,F,39
TR,631152000000,1587340800000,0,Arsenic,M,35
EH,631152000000,1587340800000,0,Arsenic,M,30
IO,631152000000,1587340800000,0,Arsenic,M,35
FR,631152000000,1587340800000,0,Arsenic,M,36
GS,631152000000,1587340800000,0,Arsenic,F,43
PM,631152000000,1587340800000,0,Arsenic,M,24
FI,631152000000,1587340800000,1,Arsenic,M,32
TT,631152000000,1587340800000,0,Arsenic,F,34
TK,631152000000,1587340800000,1,Arsenic,F,33
NL,631152000000,1587340800000,0,Arsenic,F,45
AU,631152000000,1587340800000,0,Arsenic,F,37
PG,631152000000,1587340800000,0,Arsenic,M,29
DM,631152000000,1587340800000,0,Arsenic,F,28
ST,631152000000,1587340800000,1,Arsenic,F,38
CD,631152000000,1587340800000,0,Arsenic,F,39
KH,631152000000,1587340800000,0,Arsenic,F,37
GS,631152000000,1587340800000,1,Arsenic,M,43
PK,631152000000,1587340800000,0,Arsenic,F,42
AW,631152000000,1587340800000,0,Arsenic,F,36
AS,631152000000,1587340800000,1,Arsenic,F,41
MT,631152000000,1587340800000,0,Arsenic,F,36
BF,631152000000,1587340800000,0,Arsenic,M,32
CW,631152000000,1587340800000,0,Arsenic,M,35
